word,valence,valence_mean,arousal_mean
slaughter,negative,1.64,6.77
contents,neutral,4.89,4.32
graduate,positive,8.19,7.25
kiss,positive,8.26,7.32
sweetheart,positive,8.42,5.5
stove,neutral,4.98,4.51
depression,negative,1.85,4.54
fingerprint,neutral,4.87,4.67
hairdryer,neutral,4.84,3.71
award,positive,8.44,7.22
romantic,positive,8.32,7.59
rabies,negative,1.77,6.1
love,positive,8.72,6.44
hunter,neutral,4.9,5.86
volcano,neutral,4.84,6.33
vomit,negative,2.06,5.75
bumble,neutral,4.83,5.03
murderer,negative,1.53,7.47
pecan,neutral,5.68,4.04
duct,neutral,4.86,4.17
suffocate,negative,1.56,6.03
treasure,positive,8.27,6.75
funeral,negative,1.39,4.94
rainbow,positive,8.14,4.64
suicide,negative,1.25,5.73
hammer,neutral,4.88,4.58
broom,neutral,4.83,3.23
paradise,positive,8.72,5.12
cash,positive,8.37,7.37
leprosy,negative,2.09,6.29
rape,negative,1.25,6.81
baby,positive,8.22,5.53
lice,negative,2.31,5
freezer,neutral,4.96,4.3
laughter,positive,8.45,6.75
coyote,neutral,4.86,5.19
promotion,neutral,8.2,6.44
curtains,neutral,4.83,3.67
miracle,positive,8.6,7.65
torture,negative,1.56,6.1
seasick,negative,2.05,5.8
prison,negative,2.05,5.7
knitting,neutral,4.94,2.88
rejected,negative,1.5,6.37
mother,positive,8.39,6.13
